	L127_T1	L135_T1	L137_T1	L145_T1	L227_T1	L111_T1	L159_T1	L249_T1	L103_T2	L257_T2	L123_T2	L141_T2	L169_T2	L185_T2	L209_T2	L241_T2	L213_T3	L197_T3	L177_T3	L167_T3	L149_T3	L101_T3	L115_T3	L201_T3	L221_T4	L203_T4	L175_T4	L161_T4	L153_T4	L139_T4	L105_T4	L121_T4	L107_T5	L109_T5	L129_T5	L171_T5	L183_T5	L207_T5	L251_T5	L255_T5
DN10000_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
DN10001_c0_g2_i1	387	316	173	452	138	391	217	427	48	352	121	122	70	280	47	167	209	122	180	84	405	430	124	64	270	218	208	387	147	382	245	740	24	15	28	153	183	138	80	129
DN10002_c0_g2_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DN10003_c0_g1_i1	4	0	0	2	1	0	0	0	0	6	6	0	0	0	0	9	0	1	0	1	0	0	0	0	0	0	1	1	1	3	0	0	2	0	0	0	2	0	1	0
DN10004_c0_g1_i1	30	11	28	42	9	8	14	7	28	29	37	3	14	23	3	18	55	19	26	7	22	38	17	5	14	10	10	9	16	54	14	9	3	3	1	22	6	6	6	9
DN10005_c0_g1_i1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	2	0	0	0	0	2	1	0	0	0	2	0	0	1	0	0	2
DN10006_c0_g1_i1	10	13	1	0	5	18	7	12	0	0	0	1	2	4	2	0	0	1	3	2	1	1	0	0	2	0	4	0	1	0	3	0	2	5	0	0	0	15	0	2
DN10007_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DN10008_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
DN1000_c0_g1_i1	1	0	2	1	0	2	1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	4	0	0	0	7	4	3	0	0	0	0	0	0	0	0	0	0
DN10010_c0_g1_i1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	1	1	1	0
DN10011_c0_g2_i1	3	3	3	6	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	5	4	1	0	2	4	4	0	3	0	0	1	0	0	0	0	0	0	0
DN10012_c0_g1_i1	2	0	4	14	7	3	0	1	1	0	3	0	0	3	0	0	1	2	0	2	0	4	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	1	0	0
DN10013_c0_g1_i2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
DN10014_c0_g1_i1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DN10015_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DN10016_c0_g1_i1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DN1001_c0_g1_i1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DN10020_c0_g2_i1	76	223	140	153	36	111	85	93	16	60	40	32	19	6	28	14	27	46	23	47	72	59	31	51	63	116	69	24	22	59	45	58	80	14	31	42	40	38	70	39
DN10021_c0_g2_i1	286	104	260	472	238	93	236	257	178	115	363	44	29	97	112	513	363	120	94	247	126	126	94	115	112	143	83	89	150	117	185	124	32	29	72	28	76	45	104	120
DN10022_c0_g3_i1	9	17	16	32	2	4	7	16	7	6	10	2	1	2	0	14	5	8	7	4	7	0	11	0	3	11	1	1	6	14	19	7	1	1	6	2	4	1	3	2
DN10023_c0_g1_i1	4	5	0	4	0	2	1	2	0	0	0	0	4	0	1	0	14	6	2	9	11	12	4	0	0	2	4	2	7	2	6	9	4	2	0	6	5	2	7	4
DN10024_c0_g1_i1	2	0	0	5	0	0	1	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0
