	timepoint	replicates	Liver
L127_T1	0	1	1
L135_T1	0	1	1
L137_T1	0	1	1
L145_T1	0	1	1
L227_T1	0	1	1
L111_T1	0	1	1
L159_T1	0	1	1
L249_T1	0	1	1
L103_T2	8	2	1
L257_T2	8	2	1
L123_T2	8	2	1
L141_T2	8	2	1
L169_T2	8	2	1
L185_T2	8	2	1
L209_T2	8	2	1
L241_T2	8	2	1
L213_T3	14	3	1
L197_T3	14	3	1
L177_T3	14	3	1
L167_T3	14	3	1
L149_T3	14	3	1
L101_T3	14	3	1
L115_T3	14	3	1
L201_T3	14	3	1
L221_T4	29	4	1
L203_T4	29	4	1
L175_T4	29	4	1
L161_T4	29	4	1
L153_T4	29	4	1
L139_T4	29	4	1
L105_T4	29	4	1
L121_T4	29	4	1
L107_T5	31	5	1
L109_T5	31	5	1
L129_T5	31	5	1
L171_T5	31	5	1
L183_T5	31	5	1
L207_T5	31	5	1
L251_T5	31	5	1
L255_T5	31	5	1
