	timepoint	replicates	Testis
T145_T1	0	1	1
T111_T1	0	1	1
T127_T1	0	1	1
T135_T1	0	1	1
T137_T1	0	1	1
T159_T1	0	1	1
T227_T1	0	1	1
T249_T1	0	1	1
T257_T2	8	2	1
T241_T2	8	2	1
T209_T2	8	2	1
T185_T2	8	2	1
T169_T2	8	2	1
T141_T2	8	2	1
T123_T2	8	2	1
T103_T2	8	2	1
T101_T3	14	3	1
T115_T3	14	3	1
T149_T3	14	3	1
T167_T3	14	3	1
T177_T3	14	3	1
T197_T3	14	3	1
T201_T3	14	3	1
T213_T3	14	3	1
T203_T4	29	4	1
T221_T4	29	4	1
T175_T4	29	4	1
T161_T4	29	4	1
T139_T4	29	4	1
T153_T4	29	4	1
T121_T4	29	4	1
T105_T4	29	4	1
T107_T5	31	5	1
T109_T5	31	5	1
T129_T5	31	5	1
T171_T5	31	5	1
T183_T5	31	5	1
T207_T5	31	5	1
T251_T5	31	5	1
T255_T5	31	5	1
