	timepoint	replicates	testis	liver
T145_T1	0	1	1	0
T111_T1	0	1	1	0
T127_T1	0	1	1	0
T135_T1	0	1	1	0
T137_T1	0	1	1	0
T159_T1	0	1	1	0
T227_T1	0	1	1	0
T249_T1	0	1	1	0
T257_T2	8	2	1	0
T241_T2	8	2	1	0
T209_T2	8	2	1	0
T185_T2	8	2	1	0
T169_T2	8	2	1	0
T141_T2	8	2	1	0
T123_T2	8	2	1	0
T103_T2	8	2	1	0
T101_T3	14	3	1	0
T115_T3	14	3	1	0
T149_T3	14	3	1	0
T167_T3	14	3	1	0
T177_T3	14	3	1	0
T197_T3	14	3	1	0
T201_T3	14	3	1	0
T213_T3	14	3	1	0
T203_T4	29	4	1	0
T221_T4	29	4	1	0
T175_T4	29	4	1	0
T161_T4	29	4	1	0
T139_T4	29	4	1	0
T153_T4	29	4	1	0
T121_T4	29	4	1	0
T105_T4	29	4	1	0
T107_T5	31	5	1	0
T109_T5	31	5	1	0
T129_T5	31	5	1	0
T171_T5	31	5	1	0
T183_T5	31	5	1	0
T207_T5	31	5	1	0
T251_T5	31	5	1	0
T255_T5	31	5	1	0
L127_T1	0	6	0	1
L135_T1	0	6	0	1
L137_T1	0	6	0	1
L145_T1	0	6	0	1
L227_T1	0	6	0	1
L111_T1	0	6	0	1
L159_T1	0	6	0	1
L249_T1	0	6	0	1
L103_T2	8	7	0	1
L257_T2	8	7	0	1
L123_T2	8	7	0	1
L141_T2	8	7	0	1
L169_T2	8	7	0	1
L185_T2	8	7	0	1
L209_T2	8	7	0	1
L241_T2	8	7	0	1
L213_T3	14	8	0	1
L197_T3	14	8	0	1
L177_T3	14	8	0	1
L167_T3	14	8	0	1
L149_T3	14	8	0	1
L101_T3	14	8	0	1
L115_T3	14	8	0	1
L201_T3	14	8	0	1
L221_T4	29	9	0	1
L203_T4	29	9	0	1
L175_T4	29	9	0	1
L161_T4	29	9	0	1
L153_T4	29	9	0	1
L139_T4	29	9	0	1
L105_T4	29	9	0	1
L121_T4	29	9	0	1
L107_T5	31	10	0	1
L109_T5	31	10	0	1
L129_T5	31	10	0	1
L171_T5	31	10	0	1
L183_T5	31	10	0	1
L207_T5	31	10	0	1
L251_T5	31	10	0	1
L255_T5	31	10	0	1
